Frame,Ear Value,Abnormal Blink,PERCLOS,Alarm Level
271,0.220,1,0.00,0
272,0.194,1,0.00,0
273,0.213,1,0.00,0
274,0.213,1,0.00,0
275,0.194,1,0.00,0
276,0.232,1,0.00,0
277,0.232,1,0.00,0
278,0.232,1,0.00,0
279,0.248,1,0.00,0
280,0.216,1,0.00,0
281,0.251,1,0.00,0
282,0.229,1,0.00,0
283,0.207,1,0.00,0
284,0.232,1,0.00,0
285,0.191,1,0.00,0
286,0.210,1,0.00,0
287,0.227,1,0.00,0
288,0.210,1,0.00,0
289,0.239,1,0.00,0
290,0.232,1,0.00,0
291,0.251,1,0.00,0
292,0.210,1,0.00,0
293,0.232,1,0.00,0
294,0.213,1,0.00,0
295,0.248,1,0.00,0
296,0.248,1,0.00,0
297,0.232,1,0.00,0
298,0.210,1,0.00,0
299,0.218,1,0.00,0
300,0.232,1,0.00,0
301,0.229,1,0.00,0
302,0.230,1,0.00,0
303,0.236,1,0.00,0
304,0.229,1,0.00,0
305,0.213,1,0.00,0
306,0.223,1,0.00,0
307,0.176,1,0.00,0
308,0.215,1,0.00,0
309,0.248,1,0.00,0
310,0.230,1,0.00,0
311,0.248,1,0.00,0
312,0.224,1,0.00,0
313,0.210,1,0.00,0
314,0.251,1,0.00,0
315,0.229,1,0.00,0
316,0.221,1,0.00,0
317,0.224,1,0.00,0
318,0.221,1,0.00,0
319,0.226,1,0.00,0
320,0.251,1,0.00,0
321,0.204,1,0.00,0
322,0.210,1,0.00,0
323,0.272,1,0.00,0
324,0.255,1,0.00,0
325,0.173,1,0.00,0
326,0.272,1,0.00,0
327,0.237,1,0.00,0
328,0.289,1,0.00,0
329,0.164,1,0.00,0
330,0.221,1,0.00,0
331,0.191,1,0.00,0
332,0.206,1,0.00,0
333,0.234,1,0.00,0
334,0.213,1,0.00,0
335,0.199,1,0.00,0
336,0.251,1,0.00,0
337,0.207,1,0.00,0
338,0.188,1,0.00,0
339,0.210,1,0.00,0
340,0.185,1,0.00,0
341,0.163,1,0.00,0
342,0.203,1,0.00,0
343,0.207,1,0.00,0
344,0.206,1,0.00,0
345,0.213,1,0.00,0
346,0.229,1,0.00,0
347,0.232,1,0.00,0
348,0.229,1,0.00,0
349,0.232,1,0.00,0
350,0.223,1,0.00,0
351,0.175,1,0.00,0
352,0.202,1,0.00,0
353,0.210,1,0.00,0
354,0.202,1,0.00,0
355,0.202,1,0.00,0
356,0.202,1,0.00,0
357,0.199,1,0.00,0
358,0.202,1,0.00,0
359,0.172,1,0.00,0
360,0.211,1,0.00,0
361,0.210,1,0.00,0
362,0.223,1,0.00,0
363,0.198,1,0.00,0
364,0.198,1,0.00,0
365,0.232,1,0.00,0
366,0.212,1,0.00,0
367,0.223,1,0.00,0
368,0.202,1,0.00,0
369,0.232,1,0.00,0
370,0.213,1,0.00,0
371,0.242,1,0.00,0
372,0.223,1,0.00,0
373,0.205,1,0.00,0
374,0.251,1,0.00,0
375,0.221,1,0.00,0
376,0.183,1,0.00,0
377,0.202,1,0.00,0
378,0.242,1,0.00,0
379,0.199,1,0.00,0
380,0.210,1,0.00,0
381,0.205,1,0.00,0
382,0.194,1,0.00,0
383,0.203,1,0.00,0
384,0.248,1,0.00,0
385,0.202,1,0.00,0
386,0.179,1,0.00,0
387,0.226,1,0.00,0
388,0.232,1,0.00,0
389,0.191,1,0.00,0
390,0.220,1,0.00,0
391,0.223,1,0.00,0
392,0.213,1,0.00,0
393,0.203,1,0.00,0
394,0.196,1,0.00,0
395,0.199,1,0.00,0
396,0.176,1,0.00,0
397,0.224,1,0.00,0
398,0.230,1,0.00,0
399,0.203,1,0.00,0
400,0.203,1,0.00,0
401,0.232,1,0.00,0
402,0.232,1,0.00,0
403,0.232,1,0.00,0
404,0.251,1,0.00,0
405,0.196,1,0.00,0
406,0.191,1,0.00,0
407,0.224,1,0.00,0
408,0.229,1,0.00,0
409,0.194,1,0.00,0
410,0.210,1,0.00,0
411,0.203,1,0.00,0
412,0.233,1,0.00,0
413,0.215,1,0.00,0
414,0.210,1,0.00,0
415,0.232,1,0.00,0
416,0.210,1,0.00,0
417,0.178,1,0.00,0
418,0.176,1,0.00,0
419,0.187,1,0.00,0
420,0.213,1,0.00,0
421,0.175,1,0.00,0
422,0.210,1,0.00,0
423,0.184,1,0.00,0
424,0.209,1,0.00,0
425,0.185,1,0.00,0
426,0.183,1,0.00,0
427,0.192,1,0.00,0
428,0.189,1,0.00,0
429,0.205,1,0.00,0
430,0.204,1,0.00,0
431,0.210,1,0.00,0
432,0.189,1,0.00,0
433,0.185,1,0.00,0
434,0.202,1,0.00,0
435,0.194,1,0.00,0
436,0.191,1,0.00,0
437,0.210,1,0.00,0
438,0.209,1,0.00,0
439,0.209,1,0.00,0
440,0.215,1,0.00,0
441,0.215,1,0.00,0
442,0.187,1,0.00,0
443,0.197,1,0.00,0
444,0.208,1,0.00,0
445,0.202,1,0.00,0
446,0.215,1,0.00,0
447,0.210,1,0.00,0
448,0.200,1,0.00,0
449,0.190,1,0.00,0
450,0.241,1,0.00,0
451,0.233,1,0.00,0
452,0.199,1,0.00,0
453,0.221,1,0.00,0
454,0.214,1,0.00,0
455,0.176,1,0.00,0
456,0.232,1,0.00,0
457,0.230,1,0.00,0
458,0.242,1,0.00,0
459,0.194,1,0.00,0
460,0.188,1,0.00,0
461,0.191,1,0.00,0
462,0.213,1,0.00,0
463,0.199,1,0.00,0
464,0.266,1,0.00,0
465,0.210,1,0.00,0
466,0.242,1,0.00,0
467,0.202,1,0.00,0
468,0.242,1,0.00,0
469,0.195,1,0.00,0
470,0.215,1,0.00,0
471,0.171,1,0.00,0
472,0.176,1,0.00,0
473,0.191,1,0.00,0
474,0.176,1,0.00,0
475,0.194,1,0.00,0
476,0.202,1,0.00,0
477,0.185,1,0.00,0
478,0.206,1,0.00,0
479,0.213,1,0.00,0
480,0.175,1,0.00,0
481,0.195,1,0.00,0
482,0.191,1,0.00,0
483,0.229,1,0.00,0
484,0.220,1,0.00,0
485,0.181,1,0.00,0
486,0.195,1,0.00,0
487,0.202,1,0.00,0
488,0.196,1,0.00,0
489,0.214,1,0.00,0
490,0.199,1,0.00,0
491,0.195,1,0.00,0
492,0.204,1,0.00,0
493,0.210,1,0.00,0
494,0.191,1,0.00,0
495,0.195,1,0.00,0
496,0.176,1,0.00,0
497,0.176,1,0.00,0
498,0.176,1,0.00,0
499,0.195,1,0.00,0
500,0.189,1,0.00,0
501,0.208,1,0.00,0
502,0.157,1,0.00,0
503,0.195,1,0.00,0
504,0.176,1,0.00,0
505,0.195,1,0.00,0
506,0.177,1,0.00,0
507,0.192,1,0.00,0
508,0.185,1,0.00,0
509,0.190,1,0.00,0
510,0.196,1,0.00,0
511,0.213,1,0.00,0
512,0.196,1,0.00,0
513,0.157,1,0.00,0
514,0.199,1,0.00,0
515,0.233,1,0.00,0
516,0.189,1,0.00,0
517,0.215,1,0.00,0
518,0.232,1,0.00,0
519,0.197,1,0.00,0
520,0.232,1,0.00,0
521,0.213,1,0.00,0
522,0.229,1,0.00,0
523,0.213,1,0.00,0
524,0.176,1,0.00,0
525,0.232,1,0.00,0
526,0.213,1,0.00,0
527,0.194,1,0.00,0
528,0.210,1,0.00,0
529,0.191,1,0.00,0
530,0.232,1,0.00,0
531,0.206,1,0.00,0
532,0.210,1,0.00,0
533,0.194,1,0.00,0
534,0.213,1,0.00,0
535,0.191,1,0.00,0
536,0.213,1,0.00,0
537,0.191,1,0.00,0
538,0.231,1,0.00,0
539,0.176,1,0.00,0
540,0.195,1,0.00,0
541,0.181,1,0.00,0
542,0.202,1,0.00,0
543,0.194,1,0.00,0
544,0.176,1,0.00,0
545,0.195,1,0.00,0
546,0.194,1,0.00,0
547,0.185,1,0.00,0
548,0.193,1,0.00,0
549,0.233,1,0.00,0
550,0.201,1,0.00,0
551,0.196,1,0.00,0
552,0.194,1,0.00,0
553,0.235,1,0.00,0
554,0.213,1,0.00,0
555,0.214,1,0.00,0
556,0.214,1,0.00,0
557,0.214,1,0.00,0
558,0.214,1,0.00,0
559,0.195,1,0.00,0
560,0.195,1,0.00,0
561,0.189,1,0.00,0
562,0.213,1,0.00,0
563,0.191,1,0.00,0
564,0.191,1,0.00,0
565,0.213,1,0.00,0
566,0.232,1,0.00,0
567,0.252,1,0.00,0
568,0.232,1,0.00,0
569,0.232,1,0.00,0
570,0.212,1,0.00,0
571,0.198,1,0.00,0
572,0.232,1,0.00,0
573,0.234,1,0.00,0
574,0.194,1,0.00,0
575,0.195,1,0.00,0
576,0.232,1,0.00,0
577,0.209,1,0.00,0
578,0.223,1,0.00,0
579,0.205,1,0.00,0
580,0.232,1,0.00,0
581,0.232,1,0.00,0
582,0.210,1,0.00,0
583,0.232,1,0.00,0
584,0.153,1,0.00,0
585,0.195,1,0.00,0
586,0.242,1,0.00,0
587,0.192,1,0.00,0
588,0.210,1,0.00,0
589,0.185,1,0.00,0
590,0.239,1,0.00,0
591,0.196,1,0.00,0
592,0.202,1,0.00,0
593,0.221,1,0.00,0
594,0.196,1,0.00,0
595,0.195,1,0.00,0
596,0.184,1,0.00,0
597,0.191,1,0.00,0
598,0.294,1,0.00,0
599,0.162,1,0.00,0
600,0.164,1,0.00,0
601,0.176,1,0.00,0
602,0.191,1,0.00,0
603,0.224,1,0.00,0
604,0.198,1,0.00,0
605,0.198,1,0.00,0
606,0.152,1,0.00,0
607,0.202,1,0.00,0
608,0.195,1,0.00,0
609,0.213,1,0.00,0
610,0.191,1,0.00,0
611,0.232,1,0.00,0
612,0.208,1,0.00,0
613,0.176,1,0.00,0
614,0.192,1,0.00,0
615,0.232,1,0.00,0
616,0.221,1,0.00,0
617,0.195,1,0.00,0
618,0.199,1,0.00,0
619,0.221,1,0.00,0
620,0.207,1,0.00,0
621,0.192,1,0.00,0
622,0.235,1,0.00,0
623,0.202,1,0.00,0
624,0.242,1,0.00,0
625,0.229,1,0.00,0
626,0.195,1,0.00,0
627,0.177,1,0.00,0
628,0.170,1,0.00,0
629,0.171,1,0.00,0
630,0.192,1,0.00,0
631,0.238,1,0.00,0
632,0.214,1,0.00,0
633,0.193,1,0.00,0
634,0.187,1,0.00,0
635,0.232,1,0.00,0
636,0.232,1,0.00,0
637,0.203,1,0.00,0
638,0.214,1,0.00,0
639,0.232,1,0.00,0
640,0.190,1,0.00,0
641,0.227,1,0.00,0
642,0.191,1,0.00,0
643,0.176,1,0.00,0
644,0.210,1,0.00,0
645,0.232,1,0.00,0
646,0.210,1,0.00,0
647,0.210,1,0.00,0
648,0.232,1,0.00,0
649,0.189,1,0.00,0
650,0.185,1,0.00,0
651,0.215,1,0.00,0
652,0.191,1,0.00,0
653,0.191,1,0.00,0
654,0.213,1,0.00,0
655,0.196,1,0.00,0
656,0.233,1,0.00,0
657,0.199,1,0.00,0
658,0.214,1,0.00,0
659,0.194,1,0.00,0
660,0.172,1,0.00,0
661,0.194,1,0.00,0
662,0.206,1,0.00,0
663,0.236,1,0.00,0
664,0.237,1,0.00,0
665,0.233,1,0.00,0
666,0.213,1,0.00,0
667,0.176,1,0.00,0
668,0.194,1,0.00,0
669,0.232,1,0.00,0
670,0.210,1,0.00,0
671,0.225,1,0.00,0
672,0.177,1,0.00,0
673,0.226,1,0.00,0
674,0.242,1,0.00,0
675,0.224,1,0.00,0
676,0.208,1,0.00,0
677,0.213,1,0.00,0
678,0.199,1,0.00,0
679,0.213,1,0.00,0
680,0.212,1,0.00,0
681,0.205,1,0.00,0
682,0.188,1,0.00,0
683,0.212,1,0.00,0
684,0.194,1,0.00,0
685,0.224,1,0.00,0
686,0.206,1,0.00,0
687,0.203,1,0.00,0
688,0.212,1,0.00,0
689,0.232,1,0.00,0
690,0.229,1,0.00,0
691,0.210,1,0.00,0
692,0.206,1,0.00,0
693,0.204,1,0.00,0
694,0.239,1,0.00,0
695,0.195,1,0.00,0
696,0.210,1,0.00,0
697,0.206,1,0.00,0
698,0.203,1,0.00,0
699,0.192,1,0.00,0
700,0.221,1,0.00,0
701,0.206,1,0.00,0
702,0.233,1,0.00,0
703,0.221,1,0.00,0
704,0.206,1,0.00,0
705,0.229,1,0.00,0
706,0.214,1,0.00,0
707,0.213,1,0.00,0
708,0.224,1,0.00,0
709,0.235,1,0.00,0
710,0.232,1,0.00,0
